Name                           | Inputs          | Outputs
---------------------------------------------------------------------------
sky130_fd_sc_hd__a2111oi_2     | A1,A2,B1,C1,D1  | Y
sky130_fd_sc_hd__a211o_2       | A1,A2,B1,C1     | X
sky130_fd_sc_hd__a211oi_2      | A1,A2,B1,C1     | Y
sky130_fd_sc_hd__a21bo_2       | A1,A2,B1_N      | X
sky130_fd_sc_hd__a21bo_2       | A1,A2,B1_N      | X
sky130_fd_sc_hd__a21boi_2      | A1,A2,B1_N      | Y
sky130_fd_sc_hd__a21o_2        | A1,A2,B1        | X
sky130_fd_sc_hd__a21oi_2       | A1,A2,B1        | Y
sky130_fd_sc_hd__a221o_2       | A1,A2,B1,B2,C1  | X
sky130_fd_sc_hd__a221oi_2      | A1,A2,B1,B2,C1  | Y
sky130_fd_sc_hd__a22o_2        | A1,A2,B1,B2     | X
sky130_fd_sc_hd__a22oi_2       | A1,A2,B1,B2     | Y
sky130_fd_sc_hd__a311o_2       | A1,A2,A3,B1,C1  | X
sky130_fd_sc_hd__a31o_2        | A1,A2,A3,B1     | X
sky130_fd_sc_hd__a31oi_2       | A1,A2,A3,B1     | Y
sky130_fd_sc_hd__a32o_2        | A1,A2,A3,B1,B2  | X
sky130_fd_sc_hd__a41oi_2       | A1,A2,A3,A4,B1  | Y
sky130_fd_sc_hd__and2_2        | A,B             | X
sky130_fd_sc_hd__and2b_2       | A_N,B           | X
sky130_fd_sc_hd__and3_2        | A,B,C           | X
sky130_fd_sc_hd__and3b_2       | A_N,B,C         | X
sky130_fd_sc_hd__and4_2        | A,B,C,D         | X
sky130_fd_sc_hd__and4b_2       | A_N,B,C,D       | X
sky130_fd_sc_hd__and4bb_2      | A_N,B_N,C,D     | X
sky130_fd_sc_hd__buf_2         | A               | X
sky130_fd_sc_hd__clkbuf_16     | A               | X
sky130_fd_sc_hd__clkbuf_4      | A               | X
sky130_fd_sc_hd__clkbuf_8      | A               | X
sky130_fd_sc_hd__conb_1        |                 | HI,LO
sky130_fd_sc_hd__decap_3       |                 |
sky130_fd_sc_hd__dfrtp_2       | CLK,D,RESET_B   | Q
sky130_fd_sc_hd__dfstp_2       | CLK,D,SET_B     | Q
sky130_fd_sc_hd__dfxtp_2       | CLK,D,Q         | Q
sky130_fd_sc_hd__diode_2       |                 |
sky130_fd_sc_hd__inv_2         | A               | Y
sky130_fd_sc_hd__mux2_1        | A0,A1,S         | X
sky130_fd_sc_hd__nand2_2       | A,B             | Y
sky130_fd_sc_hd__nand2b_2      | A_N,B           | Y
sky130_fd_sc_hd__nand3_2       | A,B,C           | Y
sky130_fd_sc_hd__nand3b_2      | A_N,B,C         | Y
sky130_fd_sc_hd__nand4_2       | A,B,C,D         | Y
sky130_fd_sc_hd__nor2_2        | A,B             | Y
sky130_fd_sc_hd__nor3_2        | A,B,C           | Y
sky130_fd_sc_hd__nor3b_2       | A,B,C_N         | Y
sky130_fd_sc_hd__nor4_2        | A,B,C,D         | Y
sky130_fd_sc_hd__nor4b_2       | A,B,C,D_N       | Y
sky130_fd_sc_hd__o211a_2       | A1,A2,B1,C1     | X
sky130_fd_sc_hd__o211ai_2      | A1,A2,B1,C1     | Y
sky130_fd_sc_hd__o21a_2        | A1,A2,B1        | X
sky130_fd_sc_hd__o21ai_2       | A1,A2,B1        | Y
sky130_fd_sc_hd__o21ba_2       | A1,A2,B1_N      | X
sky130_fd_sc_hd__o21bai_2      | A1,A2,B1_N      | Y
sky130_fd_sc_hd__o221a_2       | A1,A2,B1,B2,C1  | X
sky130_fd_sc_hd__o22a_2        | A1,A2,B1,B2     | X
sky130_fd_sc_hd__o22ai_2       | A1,A2,B1,B2     | Y
sky130_fd_sc_hd__o2bb2a_2      | A1_N,A2_N,B1,B2 | X
sky130_fd_sc_hd__o311a_2       | A1,A2,A3,B1,C1  | X
sky130_fd_sc_hd__o31a_2        | A1,A2,A3,B1     | X
sky130_fd_sc_hd__o31ai_2       | A1,A2,A3,B1     | Y
sky130_fd_sc_hd__o32a_2        | A1,A2,A3,B1,B2  | X
sky130_fd_sc_hd__o32ai_2       | A1,A2,A3,B1,B2  | Y
sky130_fd_sc_hd__or2_2         | A,B             | X
sky130_fd_sc_hd__or3_2         | A,B,C           | X
sky130_fd_sc_hd__or3b_2        | A,B,C_N         | X
sky130_fd_sc_hd__or4_2         | A,B,C,D         | X
sky130_fd_sc_hd__or4b_2        | A,B,C,D_N       | X
sky130_fd_sc_hd__or4bb_2       | A,B,C_N,D_N     | X
sky130_fd_sc_hd__tapvpwrvgnd_1 |                 |
sky130_fd_sc_hd__xnor2_2       | A,B             | Y
sky130_fd_sc_hd__xor2_2        | A,B             | X
